event_id,timestamp,user_id,source_asset,target_asset,resource_path,resource_group,action,status,bytes_transferred,sensitivity
X00001,2026-09-07 06:02:49,mhaingura,WKST-CS-017,DB-CRM-01,/crm/customer/profile/record-3497.json,CRM_BASIC,DOWNLOAD,SUCCESS,15023,Internal
X00002,2026-09-07 06:11:48,pnakale,WKST-HR-002,FS-FIN-01,/payroll/monthly/2026-08/record-3391.json,PAYROLL_READ,READ,SUCCESS,19832,Confidential
X00003,2026-09-07 06:14:10,shilongo,WKST-LOAN-018,FS-KYC-01,/customer/records/individual/record-8262.json,CUSTOMER_BASIC,READ,SUCCESS,19403,Confidential
X00004,2026-09-07 06:16:08,nghifindaka,WKST-IT-005,FS-FIN-01,/audit/security/record-5467.json,AUDIT,DOWNLOAD,SUCCESS,5236,Restricted
X00005,2026-09-07 06:24:42,tkamati,WKST-CS-011,DB-CRM-01,/crm/interactions/today/record-5748.json,CRM_BASIC,UPDATE,SUCCESS,2514,Internal
X00006,2026-09-07 06:25:15,kndjavera,WKST-CMP-009,FS-KYC-01,/customer/kyc/high-risk/record-3944.json,CUSTOMER_EXPORT,UPDATE,SUCCESS,3013,Restricted
X00007,2026-09-07 06:37:04,sihuhua,WKST-SWK-008,DB-CRM-01,/crm/interactions/today/record-9412.json,CRM_BASIC,UPDATE,SUCCESS,2332,Internal
X00008,2026-09-07 06:38:09,jkavari,WKST-FIN-021,FS-FIN-01,/finance/general-ledger/record-7590.json,FINANCE,READ,SUCCESS,72180,Confidential
X00009,2026-09-07 07:00:45,kndjavera,WKST-CMP-009,FS-FIN-01,/audit/security/record-1186.json,AUDIT,LIST,SUCCESS,2738,Restricted
X00010,2026-09-07 07:19:58,hamukwaya,WKST-TRY-007,DB-CRM-01,/crm/customer/profile/record-2410.json,CRM_BASIC,READ,SUCCESS,4512,Internal
X00011,2026-09-07 07:21:02,kndjavera,WKST-CMP-009,FS-FIN-01,/audit/security/record-2965.json,AUDIT,LIST,SUCCESS,3667,Restricted
X00012,2026-09-07 07:25:29,mukwambi,WKST-HR-014,FS-FIN-01,/payroll/monthly/2026-08/record-9603.json,PAYROLL_READ,UPDATE,SUCCESS,111,Confidential
X00013,2026-09-07 07:30:12,ndjaba,WKST-OND-004,DB-CRM-01,/crm/interactions/today/record-4447.json,CRM_BASIC,UPDATE,SUCCESS,1891,Internal
X00014,2026-09-07 07:30:41,tjirera,WKST-AUD-004,FS-HR-01,/hr/recruitment/record-7169.json,HR,READ,SUCCESS,4924,Confidential
X00015,2026-09-07 07:44:28,pnakale,WKST-HR-002,FS-HR-01,/hr/terminations/record-2946.json,HR_CONFIDENTIAL,UPDATE,DENIED,3535,Restricted
X00016,2026-09-07 07:48:08,sihuhua,WKST-SWK-008,DB-CRM-01,/crm/interactions/today/record-4807.json,CRM_BASIC,UPDATE,SUCCESS,3502,Internal
X00017,2026-09-07 07:49:25,mbandeka,WKST-LGL-005,FS-KYC-01,/customer/contacts/recent/record-1014.json,CUSTOMER_BASIC,READ,SUCCESS,27013,Confidential
X00018,2026-09-07 07:50:34,ndjaba,WKST-OND-004,FS-KYC-01,/customer/contacts/recent/record-8265.json,CUSTOMER_BASIC,UPDATE,SUCCESS,1840,Confidential
X00019,2026-09-07 07:50:49,shapaka,WKST-EXE-002,DB-CRM-01,/crm/cases/open/record-9714.json,CRM_BASIC,READ,SUCCESS,5073,Internal
